,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Castro,BR,-24.7911,-50.0119,62.6,99,6,6.06,clear sky
322,Dera Bugti,PK,29.0307,69.151,56.52,32,0,9.15,clear sky
323,Santiago Del Estero,AR,-27.7951,-64.2615,84.87,38,74,5.79,broken clouds
324,Kibondo,TZ,-3.5864,30.7203,60.28,96,100,2.04,overcast clouds
325,Kamir,PK,30.4333,73.05,53.29,72,86,10.69,overcast clouds
326,Hokitika,NZ,-42.7167,170.9667,66.09,99,100,9.24,overcast clouds
327,Yarmouth,US,41.7057,-70.2286,41.47,96,100,5.75,mist
328,Zenica,BA,44.2014,17.9064,37.81,89,93,4.85,overcast clouds
329,Rumonge,BI,-3.9736,29.4386,69.93,88,100,0.13,light rain
330,Kloulklubed,PW,7.0419,134.2556,84.7,74,100,17.63,overcast clouds
331,Camacha,PT,33.0833,-16.3333,63.54,94,40,5.75,scattered clouds
332,Cabedelo,BR,-6.9811,-34.8339,79.47,77,71,10.89,broken clouds
333,Cairns,AU,-16.9167,145.7667,94.1,63,75,12.66,broken clouds
334,Ola,RU,59.5833,151.2833,14.43,75,100,11.03,overcast clouds
335,Santa Cruz,BO,-17.8,-63.1667,76.46,88,20,6.91,few clouds
336,Libreville,GA,0.3925,9.4537,79.66,79,100,6.8,overcast clouds
337,Paamiut,GL,61.994,-49.6678,19.69,79,100,21.56,overcast clouds
338,Kyaka,TZ,-1.2522,31.4203,63.57,94,100,2.35,overcast clouds
339,Villamontes,BO,-21.25,-63.5,82.4,48,100,3.69,overcast clouds
340,Beringovskiy,RU,63.05,179.3167,9.54,74,100,22.73,overcast clouds
341,Hamilton,US,39.1834,-84.5333,46.99,97,100,1.01,moderate rain
342,Pacific Grove,US,36.6177,-121.9166,56.43,43,0,1.01,clear sky
343,Bagotville,AU,-28.9833,153.4167,71.64,98,100,17.07,light rain
344,Zaysan,KZ,47.4667,84.8667,0.25,84,6,1.52,clear sky
